"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"NFIC",-0.0552173913043478,0.0926086956521739,-0.354373225864368,0.726052968521711,0.956538224955176,-4.89140529103604,"NO"
"MAMDC2",0.0411869565217391,0.12310652173913,0.353937590439265,0.726375392168187,0.956538224955176,-4.89148184164907,"NO"
"TF",-0.0236347826086956,0.00368260869565217,-0.353389138072026,0.726781387360213,0.956538224955176,-4.89157808479647,"NO"
"TPSG1",-0.0229521739130434,0.0642065217391304,-0.353318644855852,0.726833576301235,0.956538224955176,-4.89159044437973,"NO"
"PPM1B",0.0464195652173911,0.0862228260869565,0.351561649065943,0.728134784491146,0.956538224955176,-4.89189771410761,"NO"
"DNAJC9",0.082708695652174,0.14190652173913,0.351395474222694,0.728257894550385,0.956538224955176,-4.89192669726827,"NO"
"CDH22",0.0274521739130435,0.0637347826086957,0.351354605900399,0.728288172846197,0.956538224955176,-4.89193382319365,"NO"
"NT5E",0.0835869565217392,0.331571739130435,0.35123628183006,0.728375838664425,0.956538224955176,-4.8919544499364,"NO"
"ADGRE5",-0.0314891304347826,0.0461010869565217,-0.350814735518468,0.728688191242613,0.956538224955176,-4.89202788002029,"NO"
"NRGN",0.0951956521739129,-0.0736108695652174,0.349718138828856,0.729500958827937,0.956538224955176,-4.89221849173977,"NO"
"FCRL3",-0.0598326086956518,-0.192805434782609,-0.349368390381104,0.729760250769302,0.956538224955176,-4.89227916178057,"NO"
"MPRIP",-0.0351413043478261,-8.15217391304352e-05,-0.349362721374256,0.729764453853857,0.956538224955176,-4.89228014467734,"NO"
"FAM172A",0.0590391304347827,-0.0723065217391304,0.348934294539121,0.730082120698405,0.956538224955176,-4.8923543801902,"NO"
"NAGPA",0.0219304347826088,0.0614913043478261,0.348737602185465,0.730227979198941,0.956538224955176,-4.89238843193316,"NO"
"RECK",0.0270695652173914,0.00144347826086958,0.34838329622713,0.730490743228035,0.956538224955176,-4.89244972230919,"NO"
"CALCA",-0.0728065217391303,0.581403260869565,-0.348112969907048,0.730691247999257,0.956538224955176,-4.89249644400704,"NO"
"CD177",0.117486956521739,-0.0290217391304348,0.348098325914552,0.730702110208953,0.956538224955176,-4.89249897397302,"NO"
"NOTCH3",-0.0349347826086958,-0.0261978260869565,-0.348006402555629,0.730770295847011,0.956538224955176,-4.89251485269597,"NO"
"CDC25A",0.0327956521739132,0.000423913043478278,0.346330299089106,0.732013968151509,0.956538224955176,-4.8928036560991,"NO"
"DAAM1",0.0804956521739131,-0.0928173913043478,0.346151820580296,0.73214644368071,0.956538224955176,-4.89283432815595,"NO"
"LRRN1",-0.0466739130434784,-0.0430804347826087,-0.346131984169864,0.732161167763643,0.956538224955176,-4.89283773613946,"NO"
"STX1B",0.0300586956521739,-0.0291684782608696,0.345519606055146,0.732615772545302,0.956538224955176,-4.89294285074336,"NO"
"JPT2",0.096804347826087,-0.0568586956521739,0.345450869176149,0.732666806248288,0.956538224955176,-4.89295463796784,"NO"
"AKR1C4",0.092695652173913,0.124967391304348,0.345263392776035,0.732806004498008,0.956538224955176,-4.89298677528566,"NO"
"PMVK",-0.139452173913043,-0.455132608695652,-0.345043726530194,0.732969115065506,0.956538224955176,-4.8930244087329,"NO"
"FGD3",0.0876652173913044,-0.0379195652173913,0.343602317146215,0.73403973376329,0.956538224955176,-4.8932707668503,"NO"
"DUSP3",-0.0588652173913044,-0.187989130434783,-0.343524413416919,0.734097613059966,0.956538224955176,-4.8932840527944,"NO"
"NFU1",0.115195652173913,-0.0614717391304348,0.343432462971201,0.734165930558189,0.956538224955176,-4.89329973048858,"NO"
"MUCL3",-0.0253826086956521,-0.0548282608695652,-0.342586296493734,0.734794721556695,0.956538224955176,-4.8934438089978,"NO"
"RAB33A",0.0594695652173913,-0.0661347826086956,0.342360352635538,0.734962653636972,0.956538224955176,-4.89348222166127,"NO"
"COMMD1",0.0547217391304348,-0.0407130434782609,0.342085972388693,0.735166603999012,0.956538224955176,-4.89352883539711,"NO"
"MANEAL",-0.0489543478260869,-0.0634358695652174,-0.341893190306901,0.735309913253866,0.956538224955176,-4.89356156460109,"NO"
"RAD51",0.0510347826086957,0.198765217391304,0.341740590843755,0.735423358716008,0.956538224955176,-4.89358745898331,"NO"
"EFNB2",0.0459,-0.0684847826086957,0.34142243759986,0.735659899833452,0.956538224955176,-4.89364140930076,"NO"
"MAP2K6",0.113186956521739,-0.227789130434783,0.34128266678503,0.735763825290794,0.956538224955176,-4.8936650950476,"NO"
"NAA80",0.126295652173913,-0.0839304347826087,0.341281330581212,0.735764818839094,0.956538224955176,-4.89366532143633,"NO"
"HYAL1",-0.0281478260869565,-0.00423478260869565,-0.340645529039615,0.73623762890578,0.956538224955176,-4.89377294412548,"NO"
"BST1",-0.0441782608695652,-0.198154347826087,-0.339490847140676,0.737096572346113,0.956538224955176,-4.89396789220918,"NO"
"PPCDC",0.0540347826086957,0.0294130434782609,0.339333256696179,0.737213827612493,0.956538224955176,-4.89399444801982,"NO"
"TNR",-0.0401217391304348,-0.118317391304348,-0.339299935784599,0.737238620888758,0.956538224955176,-4.89400006142144,"NO"
"GP5",-0.0354434782608695,-0.0322478260869565,-0.338634015696229,0.737734176590272,0.956538224955176,-4.89411213156371,"NO"
"IRAK4",0.1288,-0.290252173913044,0.338503961353756,0.737830972244355,0.956538224955176,-4.89413399354901,"NO"
"DCTN1",0.0797782608695652,-0.0337347826086956,0.337995867197784,0.738209174188277,0.956538224955176,-4.89421932422342,"NO"
"CANT1",-0.0250934782608696,0.0558728260869565,-0.337872369140124,0.73830111063285,0.956538224955176,-4.89424004571956,"NO"
"EGFLAM",0.0265347826086957,-0.0355565217391304,0.337870750082512,0.73830231594459,0.956538224955176,-4.89424031732846,"NO"
"IFNGR2",0.0511652173913044,0.184017391304348,0.337480569778494,0.738592806610959,0.956538224955176,-4.89430573553987,"NO"
"ANXA3",-0.0774369565217391,-0.0305380434782609,-0.336749423639495,0.739137254224506,0.956819395083362,-4.89442811987957,"NO"
"MTHFD2",-0.0267521739130433,-0.00662391304347824,-0.335664690745223,0.739945255746701,0.957100208014784,-4.89460920777077,"NO"
"ACSL1",0.0406739130434783,0.0693804347826087,0.335412034368542,0.740133499538872,0.957100208014784,-4.89465130409029,"NO"
"NEO1",-0.0233391304347827,0.0422195652173913,-0.334371163603788,0.740909183306558,0.957100208014784,-4.89482439897209,"NO"
"PGLYRP4",0.0405391304347828,0.132539130434783,0.332401086084182,0.742378100839178,0.957100208014784,-4.89515056643376,"NO"
"GNGT1",0.0412173913043478,-0.00503043478260869,0.332084198007732,0.742614470229149,0.957100208014784,-4.89520285313667,"NO"
"IL12RB1",0.0316608695652174,-0.000573913043478265,0.331902076616854,0.742750327713309,0.957100208014784,-4.89523288100085,"NO"
"ORM1",0.0206782608695652,0.0485782608695652,0.331699524056282,0.742901436271081,0.957100208014784,-4.89526625843345,"NO"
"PGD",-0.0454173913043479,0.0996565217391304,-0.331579210117592,0.742991198030146,0.957100208014784,-4.89528607473581,"NO"
"DAB2",0.130921739130435,-0.351184782608695,0.331064833469541,0.74337499714343,0.957100208014784,-4.89537071513781,"NO"
"IL5RA",-0.0654304347826085,-0.0796978260869565,-0.331035467520971,0.743396910417065,0.957100208014784,-4.89537554337688,"NO"
"CLEC2L",0.0563847826086956,0.0756163043478261,0.330829750989248,0.743550425100368,0.957100208014784,-4.89540935466852,"NO"
"TPK1",0.030895652173913,0.0112304347826087,0.330730772369443,0.743624291136511,0.957100208014784,-4.89542561527185,"NO"
"EP300",-0.0277565217391304,0.0458304347826087,-0.330562084496622,0.743750185756437,0.957100208014784,-4.89545331692699,"NO"
"ADAMTS1",0.0277826086956523,0.113504347826087,0.329507906440599,0.744537101289218,0.957100208014784,-4.89562611650632,"NO"
"ITGB5",-0.0386804347826088,-0.00117717391304347,-0.328936409949663,0.744963826450537,0.957100208014784,-4.89571956784883,"NO"
"MPO",-0.0457673913043478,0.172488043478261,-0.328386620648272,0.745374421705353,0.957100208014784,-4.8958093185457,"NO"
"CTSS",-0.0233630434782608,0.035070652173913,-0.328358728060454,0.745395254577114,0.957100208014784,-4.8958138679396,"NO"
"PPIB",0.107969565217391,-0.275863043478261,0.328022446117139,0.745646437880565,0.957100208014784,-4.89586868687006,"NO"
"SCGB1A1",-0.0522260869565218,-0.0392913043478261,-0.327409316495469,0.746104484356349,0.957100208014784,-4.89596849339239,"NO"
