"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"MAVS",-0.118576812150977,0.127185970464135,-1.17151839863763,0.241980318679449,0.476320901834358,-6.34429053020066,"NO"
"CNTN1",-0.042125030850943,0.0258416666666667,-1.16904915179436,0.242972702872499,0.477946304415862,-6.34715557835221,"NO"
"PRRT3",-0.0604518084901571,0.0425618143459916,-1.16829777844894,0.243275246714342,0.478039431753241,-6.34802619843094,"NO"
"PARD3",0.408702328788106,-0.388878586497891,1.16810377379238,0.24335340668052,0.478039431753241,-6.34825090220914,"NO"
"EPHA10",-0.112454841823476,0.15568111814346,-1.16642657171023,0.244029850507834,0.479040117218664,-6.35019195642775,"NO"
"MDM1",-0.143484819868622,-0.673123417721519,-1.16444831696523,0.244829415336958,0.480280959771817,-6.35247785977332,"NO"
"CNTN2",-0.0663851765525383,0.00477067510548522,-1.16369608377648,0.2451339340738,0.48054963972909,-6.35334606425575,"NO"
"CHM",-0.10355254251155,-0.340750210970464,-1.16273092211415,0.245525040745624,0.480987579821346,-6.35445920724884,"NO"
"NTRK3",-0.0367549554068499,0.104629324894515,-1.16041968159216,0.246463394767971,0.48228888490049,-6.3571210811915,"NO"
"KITLG",0.0559451598359229,-0.00881170886075955,1.16026661157141,0.246525629450529,0.48228888490049,-6.35729718720915,"NO"
"DENND2B",-0.102707374769305,0.0911766877637131,-1.15468207179499,0.248803729363051,0.486223594037444,-6.36370636772352,"NO"
"CTHRC1",-0.0399433676480996,-0.0210388185654008,-1.15416665825331,0.249014723837543,0.486223594037444,-6.36429633994764,"NO"
"ASS1",0.10800675549916,0.365486181434599,1.1540915336473,0.249045488019876,0.486223594037444,-6.36438231005767,"NO"
"CDH17",-0.0921941250710611,0.0888617088607595,-1.15226605605241,0.24979385650306,0.487297331522203,-6.36646961577612,"NO"
"PXN",-0.0768260526485634,-0.0710089662447258,-1.15192152300448,0.249935277081297,0.487297331522203,-6.36686319660739,"NO"
"TSPAN7",-0.129326864130348,0.121237974683544,-1.1510992569156,0.250273019596711,0.487363740764652,-6.36780204766082,"NO"
"IQGAP2",-0.0896412325490752,-0.0608618143459915,-1.15061576776116,0.250471760048032,0.487363740764652,-6.36835377707478,"NO"
"MILR1",-0.0676122836789384,-0.0439580168776371,-1.1504314931907,0.250547536048877,0.487363740764652,-6.36856399972366,"NO"
"CR1",-0.0536961137777078,-0.103856012658228,-1.14969355379212,0.250851146817315,0.487363740764652,-6.36940551437506,"NO"
"AMY2B",-0.0650288469124079,0.0631727848101266,-1.14931565678788,0.251006724867424,0.487363740764652,-6.36983624413692,"NO"
"CGB3_CGB5_CGB8",0.0844124294637559,-0.232452320675105,1.14908586180128,0.251101363180054,0.487363740764652,-6.37009809729416,"NO"
"AIFM1",0.0997593705752035,0.305651793248945,1.14894628251027,0.251158859431714,0.487363740764652,-6.37025712355375,"NO"
"CTSC",-0.0723450590086812,-0.126166877637131,-1.14744302392099,0.25177867392438,0.488236130368575,-6.37196860701844,"NO"
"TIA1",-0.0992616653147534,0.528907700421941,-1.14677515745728,0.252054387634042,0.488440529550292,-6.37272826857858,"NO"
"ATP1B3",0.0823913673743479,0.243126265822785,1.1461381296648,0.25231756699932,0.488620379577346,-6.37345244301479,"NO"
"RABEP1",-0.071866497031924,0.0487240506329114,-1.14523334773575,0.252691695527895,0.488778418705277,-6.37448031310762,"NO"
"RBM25",-0.17614346041286,-0.368587869198312,-1.14511653468447,0.252740026129681,0.488778418705277,-6.37461295878121,"NO"
"ERVV-1",0.0674446672244296,-0.0589623417721518,1.14440123989028,0.253036115386515,0.489021279601433,-6.37542490983942,"NO"
"QSOX1",-0.0461921027537324,-0.0909544303797468,-1.14137080172979,0.254293224031175,0.490938460767833,-6.3788592480572,"NO"
"DYNC1H1",-0.0575762251794905,0.12889029535865,-1.14078434537868,0.25453700475753,0.490938460767833,-6.37952282210663,"NO"
"PI3",0.0774933819752912,0.13765358649789,1.14077314158814,0.254541663584996,0.490938460767833,-6.37953549586897,"NO"
"MTR",-0.123870069951285,-0.447381012658228,-1.13938361192684,0.255119927561178,0.491568906459986,-6.38110637642231,"NO"
"TOR1AIP1",-0.130025689032105,-0.0217989451476793,-1.13916417303362,0.255211332537977,0.491568906459986,-6.38135428073094,"NO"
"AMFR",-0.0412932964896801,0.030493776371308,-1.13708264341514,0.256079507887359,0.49254325273815,-6.38370346288661,"NO"
"GNGT1",0.155867188312431,-0.159916139240506,1.13703000712164,0.256101488358461,0.49254325273815,-6.3837628120037,"NO"
"HYAL1",-0.0361770994605039,0.166681223628692,-1.13671657198291,0.256232403446765,0.49254325273815,-6.38411616364603,"NO"
"TMED8",-0.118413997884215,-0.089445147679325,-1.13607061996694,0.256502350708738,0.492625094272637,-6.38484407318419,"NO"
"GLYR1",-0.070508019933902,0.113209282700422,-1.13579280672195,0.256618511451646,0.492625094272637,-6.38515700845496,"NO"
